trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
211_20121001,7:17,7:17,Millbrae,13,,,
208_20121001,7:18,7:18,Palo Alto,14,,,
210_20121001,7:18,7:18,Redwood City,6,,,
217_20121001,7:18,7:18,Sunnyvale,10,,,
221_20121001,7:18,7:18,San Jose,7,,,
207_20121001,7:19,7:19,San Francisco,15,,,
216_20121001,7:19,7:19,San Francisco,1,,,
314_20121001,7:19,7:19,22nd Street,2,,,
421_20121001,7:19,7:19,Mountain View,5,,,
227_20121001,7:20,7:20,Morgan Hill,3,,,
211_20121001,7:21,7:21,San Bruno,14,,,
210_20121001,7:23,7:23,Menlo Park,7,,,
217_20121001,7:23,7:23,Mountain View,11,,,
221_20121001,7:23,7:23,Santa Clara,8,,,
319_20121001,7:23,7:23,Palo Alto,4,,,
421_20121001,7:23,7:23,San Antonio,6,,,
206_20121001,7:24,7:24,San Jose,14,,,
215_20121001,7:24,7:24,San Carlos,6,,,
218_20121001,7:24,7:24,San Francisco,1,,,
313_20121001,7:24,7:24,Millbrae,5,,,
211_20121001,7:25,7:25,So. San Francisco,15,,,
210_20121001,7:26,7:26,Palo Alto,8,,,
217_20121001,7:27,7:27,San Antonio,12,,,
421_20121001,7:27,7:27,California Ave,7,,,
215_20121001,7:28,7:28,Hillsdale,7,,,
221_20121001,7:28,7:28,Lawrence,9,,,
312_20121001,7:28,7:28,Redwood City,4,,,
218_20121001,7:29,7:29,22nd Street,2,,,
210_20121001,7:30,7:30,California Ave,9,,,
319_20121001,7:30,7:30,Redwood City,5,,,
217_20121001,7:31,7:31,California Ave,13,,,
421_20121001,7:31,7:31,Palo Alto,8,,,
215_20121001,7:32,7:32,San Mateo,8,,,
221_20121001,7:32,7:32,Sunnyvale,10,,,
314_20121001,7:32,7:32,Millbrae,3,,,
211_20121001,7:33,7:33,Bayshore,16,,,
216_20121001,7:33,7:33,San Bruno,2,,,
227_20121001,7:33,7:33,Blossom Hill,4,,,
312_20121001,7:33,7:33,Menlo Park,5,,,
208_20121001,7:34,7:34,Santa Clara,15,,,
210_20121001,7:34,7:34,San Antonio,10,,,
218_20121001,7:34,7:34,Bayshore,3,,,
421_20121001,7:34,7:34,Menlo Park,9,,,
215_20121001,7:35,7:35,Burlingame,9,,,
217_20121001,7:36,7:36,Palo Alto,14,,,
312_20121001,7:36,7:36,Palo Alto,6,,,
221_20121001,7:37,7:37,Mountain View,11,,,
421_20121001,7:37,7:37,Atherton,10,,,
210_20121001,7:38,7:38,Mountain View,11,,,
216_20121001,7:38,7:38,Burlingame,3,,,
217_20121001,7:39,7:39,Menlo Park,15,,,
227_20121001,7:39,7:39,Capitol,5,,,
319_20121001,7:39,7:39,San Mateo,6,,,
211_20121001,7:40,7:40,22nd Street,17,,,
218_20121001,7:40,7:40,So. San Francisco,4,,,
314_20121001,7:40,7:40,Hillsdale,4,,,
421_20121001,7:41,7:41,Redwood City,11,,,
215_20121001,7:42,7:42,San Bruno,10,,,
216_20121001,7:42,7:42,San Mateo,4,,,
313_20121001,7:42,7:42,San Francisco,6,,,
208_20121001,7:43,7:43,San Jose,16,,,
210_20121001,7:43,7:43,Sunnyvale,12,,,
218_20121001,7:44,7:44,San Bruno,5,,,
220_20121001,7:44,7:44,San Francisco,1,,,
312_20121001,7:44,7:44,Mountain View,7,,,
217_20121001,7:45,7:45,Redwood City,16,,,
221_20121001,7:45,7:45,Menlo Park,12,,,
319_20121001,7:45,7:45,Millbrae,7,,,
323_20121001,7:45,7:45,San Jose,1,,,
421_20121001,7:45,7:45,San Carlos,12,,,
216_20121001,7:46,7:46,Hillsdale,5,,,
227_20121001,7:47,7:47,Tamien,6,,,
211_20121001,7:48,7:48,San Francisco,18,,,
218_20121001,7:48,7:48,Millbrae,6,,,
421_20121001,7:48,7:48,Belmont,13,,,
210_20121001,7:49,7:49,Lawrence,13,,,
220_20121001,7:49,7:49,22nd Street,2,,,
208_20121001,7:50,7:50,Tamien,17,,,
216_20121001,7:50,7:50,San Carlos,6,,,
225_20121001,7:50,7:50,San Jose,1,,,
217_20121001,7:51,7:51,Hillsdale,17,,,
221_20121001,7:51,7:51,Redwood City,13,,,
314_20121001,7:51,7:51,Palo Alto,5,,,
421_20121001,7:51,7:51,Hillsdale,14,,,
218_20121001,7:52,7:52,Burlingame,7,,,
421_20121001,7:54,7:54,Hayward Park,15,,,
218_20121001,7:55,7:55,San Mateo,8,,,
221_20121001,7:55,7:55,San Carlos,14,,,
227_20121001,7:55,7:55,San Jose,7,,,
210_20121001,7:56,7:56,Santa Clara,14,,,
329_20121001,7:56,7:56,Tamien,1,,,
215_20121001,7:57,7:57,San Francisco,11,,,
322_20121001,7:57,7:57,San Francisco,1,,,
323_20121001,7:57,7:57,Mountain View,2,,,
421_20121001,7:57,7:57,San Mateo,16,,,
216_20121001,7:58,7:58,Menlo Park,7,,,
218_20121001,7:58,7:58,Hayward Park,9,,,
221_20121001,7:58,7:58,Belmont,15,,,
227_20121001,7:58,7:58,College Park,8,,,
312_20121001,7:58,7:58,San Jose,8,,,
314_20121001,7:58,7:58,Mountain View,6,,,
210_20121001,7:59,7:59,College Park,15,,,
217_20121001,7:59,7:59,Millbrae,18,,,
225_20121001,8:00,8:00,Sunnyvale,2,,,
421_20121001,8:00,8:00,Burlingame,17,,,
423_20121001,8:00,8:00,San Jose,1,,,
216_20121001,8:01,8:01,Palo Alto,8,,,
218_20121001,8:01,8:01,Hillsdale,10,,,
220_20121001,8:01,8:01,Millbrae,3,,,
221_20121001,8:02,8:02,Hillsdale,16,,,
227_20121001,8:02,8:02,Santa Clara,9,,,
319_20121001,8:02,8:02,San Francisco,8,,,
322_20121001,8:02,8:02,22nd Street,2,,,
329_20121001,8:03,8:03,San Jose,2,,,
421_20121001,8:03,8:03,Broadway,18,,,
218_20121001,8:04,8:04,Belmont,11,,,
217_20121001,8:05,8:05,So. San Francisco,19,,,
221_20121001,8:05,8:05,Hayward Park,17,,,
225_20121001,8:05,8:05,Mountain View,3,,,
323_20121001,8:05,8:05,Palo Alto,3,,,
423_20121001,8:05,8:05,Santa Clara,2,,,
210_20121001,8:06,8:06,San Jose,16,,,
218_20121001,8:07,8:07,San Carlos,12,,,
220_20121001,8:07,8:07,San Mateo,4,,,
221_20121001,8:08,8:08,San Mateo,18,,,
421_20121001,8:08,8:08,Millbrae,19,,,
216_20121001,8:09,8:09,Mountain View,9,,,
423_20121001,8:10,8:10,Lawrence,3,,,
221_20121001,8:11,8:11,Burlingame,19,,,
225_20121001,8:11,8:11,California Ave,4,,,
218_20121001,8:12,8:12,Redwood City,13,,,
227_20121001,8:12,8:12,Lawrence,10,,,
421_20121001,8:12,8:12,San Bruno,20,,,
210_20121001,8:13,8:13,Tamien,17,,,
220_20121001,8:13,8:13,San Carlos,5,,,
314_20121001,8:13,8:13,San Jose,7,,,
329_20121001,8:13,8:13,Sunnyvale,3,,,
324_20121001,8:14,8:14,San Francisco,1,,,
423_20121001,8:14,8:14,Sunnyvale,4,,,
322_20121001,8:15,8:15,Millbrae,3,,,
422_20121001,8:15,8:15,San Francisco,1,,,
216_20121001,8:16,8:16,Lawrence,10,,,
225_20121001,8:16,8:16,Palo Alto,5,,,
323_20121001,8:16,8:16,Hillsdale,4,,,
221_20121001,8:17,8:17,Millbrae,20,,,
421_20121001,8:17,8:17,So. San Francisco,21,,,
