trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
190_20121001,20:07:00,20:07:00,Hillsdale,10,,,
190_20121001,20:10:00,20:10:00,Belmont,11,,,
190_20121001,20:13:00,20:13:00,San Carlos,12,,,
190_20121001,20:18:00,20:18:00,Redwood City,13,,,
190_20121001,20:23:00,20:23:00,Menlo Park,14,,,
190_20121001,20:26:00,20:26:00,Palo Alto,15,,,
190_20121001,20:30:00,20:30:00,California Ave,16,,,
190_20121001,20:34:00,20:34:00,San Antonio,17,,,
190_20121001,20:38:00,20:38:00,Mountain View,18,,,
190_20121001,20:43:00,20:43:00,Sunnyvale,19,,,
190_20121001,20:47:00,20:47:00,Lawrence,20,,,
190_20121001,20:52:00,20:52:00,Santa Clara,21,,,
190_20121001,21:01:00,21:01:00,San Jose,22,,,
191_20121001,18:50:00,18:50:00,San Jose,1,,,
191_20121001,18:55:00,18:55:00,Santa Clara,2,,,
191_20121001,19:00:00,19:00:00,Lawrence,3,,,
191_20121001,19:04:00,19:04:00,Sunnyvale,4,,,
191_20121001,19:09:00,19:09:00,Mountain View,5,,,
191_20121001,19:13:00,19:13:00,San Antonio,6,,,
191_20121001,19:17:00,19:17:00,California Ave,7,,,
191_20121001,19:21:00,19:21:00,Palo Alto,8,,,
191_20121001,19:24:00,19:24:00,Menlo Park,9,,,
191_20121001,19:29:00,19:29:00,Redwood City,10,,,
191_20121001,19:33:00,19:33:00,San Carlos,11,,,
191_20121001,19:36:00,19:36:00,Belmont,12,,,
191_20121001,19:39:00,19:39:00,Hillsdale,13,,,
191_20121001,19:42:00,19:42:00,Hayward Park,14,,,
191_20121001,19:45:00,19:45:00,San Mateo,15,,,
191_20121001,19:48:00,19:48:00,Burlingame,16,,,
191_20121001,19:53:00,19:53:00,Millbrae,17,,,
191_20121001,19:57:00,19:57:00,San Bruno,18,,,
191_20121001,20:01:00,20:01:00,So. San Francisco,19,,,
191_20121001,20:07:00,20:07:00,Bayshore,20,,,
191_20121001,20:12:00,20:12:00,22nd Street,21,,,
